type,id,lat,lon,name,state,stateAbbr,stateFips
14,N26261196,40.0287023,-105.2265121,Valmont Post Office,colorado,CO,08
14,N27547134,45.4923331,-122.86661,Aloha Post Office,oregon,OR,41
14,N33447435,31.8301198,-107.6381984,"Columbus, NM 88029",new mexico,NM,35
14,N54220598,31.8303365,-107.6385256,Columbus,new mexico,NM,35
14,N61689054,37.7774401,-122.4169146,Fox Plaza,california,CA,06
14,N97893836,27.9678344,-82.5372849,Airport Branch (Main Post Office),florida,FL,12
14,N142337150,35.7798071,-103.956648,Mosquero Post Office (historical),new mexico,NM,35
14,N143018036,34.8225637,-103.7421858,Ragland Post Office (historical),new mexico,NM,35
14,N150981341,44.2710233,-114.734243,Sunbeam;Sunbeam Post Office (historical),idaho,ID,16
14,N150938410,44.0590113,-123.4487105,Noti;Noti Post Office,oregon,OR,41
14,N150941004,36.82286,-119.3649381,Piedra Post Office,california,CA,06
14,N151408653,47.489926,-92.883528,Chisholm,minnesota,MN,27
14,N158588756,40.201217,-75.346567,Worcester,pennsylvania,PA,42
14,N177006433,40.2151626,-76.9935028,Mechanicsburg Post Office,pennsylvania,PA,42
14,N249490170,33.7747008,-84.3039663,Decatur Post Office,georgia,GA,13
14,N252254400,43.6456484,-72.1439982,U.S. Post Office,new hampshire,NH,33
14,N254952352,43.6731184,-72.3075344,Wilder P.O.,vermont,VT,50
14,N257005675,43.3304903,-88.2772309,United States Postal Service,wisconsin,WI,55
14,N259343520,42.3545705,-72.7025325,Leeds Post Office,massachusetts,NA,NA
14,N266903742,37.7666648,-122.4107311,Bryant Street Post Office,california,CA,06
14,N277447329,34.380718,-89.5325029,United State Post Office,mississippi,MS,28
14,N277533601,42.0037768,-83.9407132,U. S. Postal Service,michigan,NA,NA
14,N277749257,41.79986,-92.0712099,MArengo Post Office,iowa,IA,19
14,N278870845,38.2518402,-85.7559278,Galleria Post Office,kentucky,KY,21
14,N279609100,45.103835,-93.2648509,Fridley Post Office,minnesota,MN,27
14,N280655875,40.4401016,-79.9526188,Oakland Post Office,pennsylvania,PA,42
14,N281852898,42.7458785,-84.4828733,East Lansing Main Post Office,michigan,NA,NA
14,N286080955,37.868025,-122.25681,United Postal Business Center,california,CA,06
14,N287065309,27.9641125,-82.4375751,Ybor City Post Office,florida,FL,12
14,N287774106,40.1113579,-88.2071278,Urbana Post Office,illinois,IL,17
14,N298552328,40.5537871,-75.5526459,East Texas Post Office,pennsylvania,PA,42
14,N301462760,34.3926333,-119.3009369,Oak View Post Office,california,CA,06
14,N304712434,36.07098,-115.1395713,Main Post Office,nevada,NV,32
14,N312813341,33.3699277,-112.5913346,Buckeye Post Office,arizona,AZ,04
14,N315295676,30.141048,-97.8275752,Post Office,texas,TX,48
14,N315635135,36.841668,-121.5347173,San Juan Bautista Post Office,california,CA,06
14,N316516145,37.0088278,-121.5539343,PostNet,california,CA,06
14,N316550921,32.7494173,-117.1507084,Hillcrest San Diego Post Office,california,CA,06
14,N321556073,40.7916833,-89.3620464,Metamora IL,illinois,IL,17
